,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,2,1,1,0,0,0,0,1,6.0,0.0,1356,3,0,0,1.4,93.918,-42.7,4.96,5228.1,1
1,0,1,1,1,0,1,0,0,4.0,4.0,685,1,0,0,-1.8,92.893,-46.2,1.259,5099.1,1
2,2,1,1,0,0,0,0,0,4.0,1.0,580,1,0,0,-1.8,92.893,-46.2,1.291,5099.1,1
3,1,1,1,1,0,1,0,0,10.0,3.0,186,1,0,0,-0.1,93.2,-42.0,4.076,5195.8,0
4,0,1,0,1,0,0,0,0,4.0,4.0,582,1,1,1,-1.8,92.893,-46.2,1.259,5099.1,1
5,2,1,1,0,1,1,0,1,4.0,3.0,132,3,0,0,1.1,93.994,-36.4,4.86,5191.0,0
6,2,1,1,1,0,0,0,1,4.0,4.0,165,1,0,0,1.1,93.994,-36.4,4.864,5191.0,0
7,0,1,0,0,0,1,0,0,9.0,4.0,136,2,0,0,-3.4,92.431,-26.9,0.739,5017.5,1
8,0,1,1,0,0,0,0,0,7.0,2.0,184,2,0,0,1.4,93.444,-36.1,4.964,5228.1,0
9,1,0,0,1,0,0,0,0,5.0,4.0,213,6,1,2,-1.7,94.055,-39.8,0.748,4991.6,1
10,0,1,0,0,0,0,0,0,10.0,2.0,305,4,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
11,2,1,0,0,0,1,0,1,9.0,3.0,301,1,0,0,-0.1,93.798,-40.4,4.921,5195.8,1
12,1,1,1,1,0,1,0,0,10.0,1.0,409,2,0,0,-3.4,92.649,-30.1,0.715,5017.5,1
13,2,1,0,0,0,0,0,0,6.0,4.0,185,2,0,0,1.4,93.918,-42.7,4.957,5228.1,0
14,0,1,1,0,0,0,0,1,4.0,4.0,984,2,0,0,1.1,93.994,-36.4,4.864,5191.0,1
15,2,1,1,0,0,0,0,1,4.0,2.0,389,1,0,0,1.1,93.994,-36.4,4.859,5191.0,0
16,0,1,1,1,0,1,0,0,8.0,3.0,281,2,0,1,-1.1,94.199,-37.5,0.884,4963.6,0
17,2,1,1,0,0,0,0,0,3.0,1.0,84,1,0,1,-1.8,93.075,-47.1,1.453,5099.1,1
18,2,0,1,1,0,0,0,0,9.0,3.0,344,1,1,1,-3.4,92.431,-26.9,0.733,5017.5,1
19,0,1,1,0,0,1,0,0,4.0,1.0,552,1,1,2,-1.8,93.876,-40.0,0.668,5008.7,1
20,2,1,0,1,0,0,1,0,7.0,4.0,164,1,0,0,1.4,93.444,-36.1,4.964,5228.1,0
21,0,1,0,0,0,1,1,0,6.0,0.0,629,2,0,0,1.4,93.918,-42.7,4.96,5228.1,1
22,1,0,1,0,0,1,0,1,4.0,1.0,104,2,0,0,1.1,93.994,-36.4,4.856,5191.0,0
23,2,1,0,1,0,1,0,1,5.0,0.0,73,2,0,0,1.4,94.465,-41.8,4.947,5228.1,0
24,2,1,0,1,0,0,0,0,6.0,2.0,919,2,0,0,1.4,93.918,-42.7,4.962,5228.1,1
25,2,1,0,1,0,0,0,0,7.0,3.0,211,4,0,0,1.4,93.444,-36.1,4.964,5228.1,0
26,0,1,1,0,1,1,0,0,7.0,0.0,311,1,0,0,1.4,93.444,-36.1,4.97,5228.1,0
27,0,1,1,1,0,0,0,0,3.0,0.0,355,3,0,2,-1.8,93.075,-47.1,1.405,5099.1,0
28,1,1,1,1,1,0,0,1,4.0,2.0,806,2,0,0,1.1,93.994,-36.4,4.859,5191.0,0
29,2,1,0,0,0,0,0,0,3.0,3.0,571,1,0,0,-1.8,93.075,-47.1,1.365,5099.1,1
30,2,1,0,1,1,1,0,0,6.0,2.0,124,1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
31,2,1,1,1,0,1,0,0,2.0,3.0,562,3,0,1,-1.8,93.369,-34.8,0.654,5008.7,1
32,0,1,1,1,0,1,1,0,10.0,4.0,89,1,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
33,2,1,0,1,0,1,0,0,2.0,1.0,106,1,0,0,-1.8,92.843,-50.0,1.687,5099.1,1
34,0,1,1,1,1,1,1,1,4.0,4.0,65,2,0,0,1.1,93.994,-36.4,4.864,5191.0,0
35,2,0,0,0,0,1,0,0,2.0,0.0,1447,2,0,0,-1.8,92.843,-50.0,1.811,5099.1,1
