,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,2,1,0,1,0,0,0,0,4.0,1.0,365,2,0,0,-1.8,92.893,-46.2,1.291,5099.1,1
1,0,1,1,1,0,1,0,0,7.0,1.0,231,1,0,0,1.4,93.444,-36.1,4.968,5228.1,0
2,0,0,0,1,0,1,0,0,6.0,2.0,1373,2,0,0,1.4,93.918,-42.7,4.963,5228.1,1
3,2,1,1,0,1,0,0,1,5.0,4.0,325,1,0,0,1.4,94.465,-41.8,4.959,5228.1,0
4,2,1,0,0,0,0,0,0,6.0,1.0,185,1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
5,2,0,0,0,0,0,0,0,9.0,1.0,701,2,0,0,-1.1,94.601,-49.5,1.037,4963.6,1
6,1,1,1,0,0,0,0,0,7.0,4.0,809,1,0,0,1.4,93.444,-36.1,4.966,5228.1,1
7,1,1,1,0,1,0,0,0,7.0,4.0,87,1,0,0,1.4,93.444,-36.1,4.966,5228.1,0
8,1,1,1,0,0,1,0,0,7.0,2.0,277,1,0,0,-2.9,92.201,-31.4,0.884,5076.2,1
9,1,0,1,0,0,0,0,0,7.0,1.0,222,1,0,0,1.4,93.444,-36.1,4.968,5228.1,0
10,0,1,1,0,0,0,0,0,10.0,0.0,112,1,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
11,2,0,0,0,0,0,0,0,5.0,2.0,200,2,0,0,-2.9,92.963,-40.8,1.26,5076.2,1
12,0,1,1,0,0,0,0,1,4.0,0.0,171,6,0,0,1.1,93.994,-36.4,4.857,5191.0,0
13,1,1,1,0,1,0,0,0,6.0,4.0,558,1,0,0,1.4,93.918,-42.7,4.957,5228.1,1
14,0,0,1,1,0,0,0,0,10.0,2.0,98,1,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
15,2,1,0,0,0,0,0,0,4.0,3.0,1806,2,0,0,-1.8,92.893,-46.2,1.327,5099.1,1
16,0,1,1,0,0,1,0,0,4.0,1.0,155,4,0,1,-1.8,92.893,-46.2,1.344,5099.1,0
17,0,1,1,0,0,0,0,1,9.0,4.0,478,1,0,0,-0.1,93.798,-40.4,5.045,5195.8,1
18,2,1,0,1,0,1,1,0,10.0,1.0,467,3,1,3,-1.1,94.767,-50.8,1.049,4963.6,1
19,0,1,1,1,0,0,1,0,7.0,2.0,92,4,0,0,1.4,93.444,-36.1,4.964,5228.1,0
20,2,1,0,0,0,1,0,0,7.0,0.0,104,2,0,0,1.4,93.444,-36.1,4.965,5228.1,0
21,1,0,1,0,0,1,1,0,4.0,4.0,220,1,1,1,-1.8,93.876,-40.0,0.684,5008.7,1
22,2,1,1,1,0,1,1,0,10.0,1.0,64,1,0,0,-0.1,93.2,-42.0,4.153,5195.8,0
23,2,1,0,0,0,0,0,0,6.0,4.0,700,5,1,2,-1.7,94.215,-40.3,0.896,4991.6,1
24,0,1,1,1,0,0,0,0,7.0,2.0,157,3,1,2,-2.9,92.201,-31.4,0.884,5076.2,1
25,2,1,0,1,0,1,0,0,6.0,2.0,210,5,0,0,-2.9,92.469,-33.6,1.029,5076.2,1
26,0,1,1,0,0,0,0,0,4.0,2.0,984,1,0,1,-1.8,92.893,-46.2,1.334,5099.1,1
27,0,1,0,0,0,1,0,0,10.0,3.0,1035,1,0,0,-0.1,93.2,-42.0,4.076,5195.8,1
28,2,1,1,1,0,1,0,0,8.0,1.0,173,2,1,2,-3.4,92.379,-29.8,0.77,5017.5,1
29,0,1,0,1,0,1,0,0,3.0,3.0,132,1,0,0,-1.8,93.075,-47.1,1.435,5099.1,0
30,1,0,1,1,0,0,0,1,4.0,2.0,560,9,0,0,1.1,93.994,-36.4,4.857,5191.0,1
31,0,1,0,0,0,1,0,0,7.0,3.0,122,3,0,0,1.4,93.444,-36.1,4.968,5228.1,0
32,1,0,1,0,0,0,0,0,5.0,3.0,280,2,0,1,-2.9,92.963,-40.8,1.26,5076.2,1
33,2,0,1,0,0,1,0,0,6.0,4.0,474,7,0,0,-1.7,94.215,-40.3,0.822,4991.6,1
34,2,1,1,1,0,0,0,1,4.0,2.0,546,1,0,0,1.1,93.994,-36.4,4.859,5191.0,0
35,0,1,1,1,1,0,0,1,5.0,4.0,554,2,0,0,1.4,94.465,-41.8,4.967,5228.1,1
36,0,1,0,1,0,1,0,1,5.0,0.0,29,1,0,0,1.4,94.465,-41.8,4.961,5228.1,0
37,1,1,0,1,0,1,0,0,4.0,4.0,685,2,0,0,-1.8,92.893,-46.2,1.313,5099.1,1
38,1,0,0,0,0,1,0,0,2.0,1.0,277,2,1,1,-1.8,93.369,-34.8,0.635,5008.7,1
39,2,1,1,0,0,0,0,1,5.0,0.0,271,2,0,0,1.4,94.465,-41.8,4.961,5228.1,0
